;reportingDate;productName;dealName;sti1;businessLine;productLine;region;country;signingDate;settlementDate;tradeDate;maturityDate;borrowerId;borrowerName;currency;finalAllocationDeal;finalTakeDeal;ccyFinalTakeDeal;currentCommitment;productVolume;ccyProductVolume;bestEffortDeal;rwaSpot;rwaHtm;rwaRelease;ccyRwa;totalPremium;investorId;investorName;borker;upfrontFees;upfrontFeesSkim;ccyFees;rationale;tradePrice;investorType;wal;netMargin;grossMargin;eva
0;30/11/2023;cds;Food sometimes wear.;5979;era;export finance;americas;Samoa;01/12/2023;30/11/2023;07/12/2023;30/11/2023;30705569;Estrada, Shannon and Green;usd;78813276;78813276;eur;58776590;23635487;eur;56754456;23643982.8;19703319.0;5908871.75;eur;43;5870854592;Style president well.;Brother suggest senior task gas.;144;132;eur;Special eat mean.;41;acg;9;52;52;103
1;30/11/2023;cri;Together establish meeting enjoy.;4482;itb;aviation;americas;Kyrgyz Republic;03/12/2023;01/12/2023;02/12/2023;02/12/2023;4028200343;Stuart, Mcintosh and Randolph;usd;35957633;35957633;usd;35957633;17478710;gbp;22227303;10787289.9;8989408.25;4369677.5;gbp;13;8838838817;Nor more start open floor very.;Provide owner buy.;223;206;gbp;Plan feel ago walk.;60;acg;8;79;118;157
2;30/11/2023;secondary;Name sister near now.;4815;itb;power;americas;Cameroon;01/12/2023;30/11/2023;08/12/2023;05/12/2023;1903015474;Walker-Washington;eur;95189967;95189967;eur;77927431;77927431;usd;83888149;28556990.099999998;23797491.75;19481857.75;gbp;180;1953708472;Agency brother short product.;Off when investment dream.;16;230;usd;Film less measure.;51;scg;6;222;222;86
3;30/11/2023;cds;Push back decade provide.;662;clf;real estate;apac;Cayman Islands;06/12/2023;04/12/2023;07/12/2023;06/12/2023;7743296893;Shelton-Nguyen;usd;84846408;97721006;eur;10934776;10934776;eur;51305411;25453922.4;21211602.0;2733694.0;usd;176;1691377091;Order article few spend would.;Thank control travel discussion.;171;203;gbp;Carry strong idea.;50;bcg;2;217;217;141
4;30/11/2023;cds;Attorney trip stuff measure own.;9680;itb;export finance;emea;Korea;07/12/2023;02/12/2023;08/12/2023;04/12/2023;8853992041;Mueller, Gillespie and Garza;gbp;76263665;97128423;gbp;76263665;70279336;eur;37125022;22879099.5;19065916.25;17569834.0;gbp;122;7058039330;Growth prove check reflect quite.;Night too concern party kid.;171;53;eur;Guess item actually.;79;bcg;2;221;221;56
5;30/11/2023;cds;Risk outside other.;3402;itb;tmt;apac;Guadeloupe;03/12/2023;02/12/2023;04/12/2023;05/12/2023;34822463;Strickland-Bailey;eur;68308003;90659904;eur;58550754;57183425;gbp;17598690;20492400.9;17077000.75;14295856.25;gbp;156;6378995467;With cause add piece value space.;Mention soon woman push stand my.;169;214;usd;Blue she let list.;29;acg;4;221;221;191
6;30/11/2023;secondary;After civil stop whole.;1084;clf;afa;apac;Turks and Caicos Islands;04/12/2023;02/12/2023;10/12/2023;03/12/2023;5316304455;Mathews Ltd;gbp;51501882;82103276;eur;51501882;49585714;eur;52569836;15450564.6;12875470.5;12396428.5;eur;219;891698271;Turn term hand leg.;Relate month case.;205;141;eur;Page almost amount.;74;acg;3;183;217;63
7;30/11/2023;cds;Film by buy professional.;3541;itb;shipping;americas;United States Virgin Islands;01/12/2023;30/11/2023;05/12/2023;02/12/2023;8990381907;White-Turner;gbp;34447595;34447595;eur;26452609;23469103;eur;34447595;10334278.5;8611898.75;5867275.75;usd;79;7579665182;Compare measure star back.;Model agreement necessary carry.;141;68;usd;For pass prepare.;84;bcg;6;96;146;122
8;30/11/2023;cri;Church system father.;466;itb;mining;apac;Oman;10/12/2023;05/12/2023;05/12/2023;10/12/2023;4665800450;Ramirez, Watson and Page;gbp;32781899;46311251;gbp;32781899;32781899;usd;46311251;9834569.7;8195474.75;8195474.75;usd;48;8488689342;Coach news very sit.;Remain very plant lot foreign.;222;244;usd;Book medical water.;14;ecg;10;139;139;158
9;30/11/2023;securitization;New lawyer you who.;7821;era;power;apac;Nauru;09/12/2023;04/12/2023;06/12/2023;07/12/2023;150201664;Pearson, Gibson and Mora;eur;43663835;71012805;gbp;43663835;13808103;eur;23138260;13099150.5;10915958.75;3452025.75;eur;32;6973990394;Mouth land the until federal.;Test imagine wind career.;80;206;eur;Certainly always.;95;scg;3;97;97;237
